,noise_case,paramid,parameter,parameter_value,split,n_train,interp_type,ncomp,gp_noise,gp_length,gp_const,dl_alpha,rmse,maxerr,global_mean_minerr,global_mean_maxerr,global_mean_rmse,global_max_rmse,global_var_rmse
70,theo,,,,0,71,GP,28,0.001,10.0,10.0,,,,7.771561172376095e-17,0.034292946500691625,0.02023519003810279,0.05756597457432681,0.00015964361626766307
71,theo,,,,0,71,GP,28,0.1,10.0,10.0,,,,9.992007221626409e-17,0.03473431655072145,0.02051680454590303,0.05354722454858343,0.00015438091214230976
72,theo,,,,0,71,GP,29,1e-05,1.0,10.0,,,,5.921189464667501e-17,0.03390534972988049,0.02009392445745738,0.050928184582264786,0.00014684738268721625
73,theo,,,,0,71,GP,29,0.001,1.0,10.0,,,,8.141635513917814e-17,0.03390535747631529,0.020093923975118635,0.05092819045228314,0.00014684738480095732
74,theo,,,,0,71,GP,29,0.1,1.0,10.0,,,,7.401486830834377e-17,0.033793412501753904,0.020027100014390075,0.04490551517882062,0.00013955425381482084
75,theo,,,,0,71,GP,29,1e-05,4.0,10.0,,,,8.511709855459534e-17,0.03425883154749853,0.02021466123189751,0.057098016120359585,0.00015867870475461566
76,theo,,,,0,71,GP,29,0.001,4.0,10.0,,,,5.551115123125783e-17,0.03425896426482517,0.02021469248801283,0.05709810737538358,0.00015867901074709153
77,theo,,,,0,71,GP,29,0.1,4.0,10.0,,,,1.0732155904709847e-16,0.03479332814167224,0.0205583901456418,0.0527552586698015,0.0001534470187016107
78,theo,,,,0,71,GP,29,1e-05,7.0,10.0,,,,7.401486830834377e-17,0.03390631000109472,0.020094367251012383,0.0509221067015477,0.00014684026331172415
79,theo,,,,0,71,GP,29,0.001,7.0,10.0,,,,1.3322676295501878e-16,0.03425882542661672,0.02021467155696343,0.05709819721096086,0.0001586790866084383
80,theo,,,,0,71,GP,29,0.1,7.0,10.0,,,,5.921189464667501e-17,0.033793488738604924,0.020027103470570722,0.044905348707757024,0.00013955401349853263
81,theo,,,,0,71,GP,29,1e-05,10.0,10.0,,,,7.771561172376095e-17,0.03425878060739539,0.02021466665286474,0.05709815462398142,0.00015867898919398986
82,theo,,,,0,71,GP,29,0.001,10.0,10.0,,,,5.551115123125783e-17,0.03390630202794547,0.020094368291095198,0.05092214795810022,0.00014684033534481005
83,theo,,,,0,71,GP,29,0.1,10.0,10.0,,,,5.551115123125783e-17,0.034793322755258795,0.020558388743604793,0.05275525294853238,0.0001534469921816617
84,theo,,,,0,71,GP,30,1e-05,1.0,10.0,,,,6.29126380620922e-17,0.03424730585294334,0.02019493234566712,0.056650938232201214,0.00015777158706791456
85,theo,,,,0,71,GP,30,0.001,1.0,10.0,,,,8.511709855459534e-17,0.03424737604234048,0.020194918053042576,0.0566505657076891,0.0001577708468563646
86,theo,,,,0,71,GP,30,0.1,1.0,10.0,,,,6.29126380620922e-17,0.034886693654166606,0.02060383265133064,0.05203593226749689,0.00015269215283290327
87,theo,,,,0,71,GP,30,1e-05,4.0,10.0,,,,5.921189464667501e-17,0.03424739082219893,0.020194925069507375,0.05665089755375084,0.00015777149840752905
88,theo,,,,0,71,GP,30,0.001,4.0,10.0,,,,5.551115123125783e-17,0.034247311873788454,0.020194927940400415,0.05665090183153655,0.0001577715073352518
89,theo,,,,0,71,GP,30,0.1,4.0,10.0,,,,7.031412489292658e-17,0.03488672304236536,0.020603875545348874,0.05203588550104505,0.0001526925505447419
90,theo,,,,0,71,GP,30,1e-05,7.0,10.0,,,,8.141635513917814e-17,0.03424730419541579,0.020194923857756453,0.05665108147549731,0.00015777180485634665
91,theo,,,,0,71,GP,30,0.001,7.0,10.0,,,,1.4432899320127036e-16,0.033875954884297274,0.020068080130487952,0.05047514552707335,0.0001460599907822567
92,theo,,,,0,71,GP,30,0.1,7.0,10.0,,,,9.992007221626409e-17,0.03381403669535087,0.020032750923660806,0.04401897238502019,0.00013875527775506974
93,theo,,,,0,71,GP,30,1e-05,10.0,10.0,,,,7.771561172376095e-17,0.03387521940534853,0.02006772753053301,0.050479339304163956,0.00014606477001293956
